Open,High,Low,Change %,,Date,Value,Price
39.94,40.66,39.6,1.07,,4/8,7.8125,40.46
39.78,40.84,39.6,0.28,,3/8,7.874016,40.03
39.18,40.25,39.11,1.63,,2/8,5.46875,39.92
39.4,39.79,39.02,-0.32,,1/8,5.511811,39.28
39.45,39.695,39.1,-0.29,,12/7,5.511811,39.405
39.15,39.92,39,0.83,,11/7,5.511811,39.52
39.55,39.975,39.08,-1.17,,10/7,5.511811,39.195
40.63,41,39.4,-2.41,,9/7,6.4,39.66
40.15,41.725,40.13,1.12,,8/7,7.258065,40.64
40.6,40.75,40.05,-0.83,,7/7,6.451613,40.19
40.3,41.245,40.13,0.37,,6/7,5.691057,40.525
41.15,41.485,40.14,-1.63,,5/7,6.61157,40.375
43.15,43.335,40.55,-4.81,,4/7,6.666667,41.045
44.05,44.715,42.75,-2.2,,3/7,6.722689,43.12
44.07,44.38,43.84,0.02,,2/7,7.563025,44.09
44.12,44.635,44,-0.08,,1/7,6.722689,44.08
44.57,44.935,44.08,-1.09,,12/6,6.528648,44.115
44.9,45.38,44.35,-0.71,,11/6,5.950735,44.6
45.78,45.905,44.8,-2.16,,10/6,6.917439,44.92
46.36,46.56,45.68,-1.23,,9/6,6.398648,45.91
46.46,46.8,46.3,-0.04,,8/6,5.938375,46.48
45.82,47.05,45.8,1.35,,7/6,6.332198,46.5
46.2,46.48,45.6,-0.92,,6/6,7.269146,45.88
44.88,46.56,44.68,3.13,,5/6,5.925406,46.305
44.45,45.42,44.39,0.9,,4/6,4.652825,44.9
44.2,44.77,44.09,0.51,,3/6,4.571429,44.5
43.9,44.67,43.9,0.8,,2/6,4.571429,44.275
45.08,45.155,43.89,-2.38,,1/6,4.372623,43.925
,,,,,,,
Lowest:39.000,Difference:29.909,Average:52.328,Change %:51.028,,,,Highest:68.909
